Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
56508,00:00:56.508,m,are you getting chilly?,0,,,,,,1,you,,,,,,
97138,00:01:37.138,m,xxx draw?,0,,,,,,0,,,,,,,
97920,00:01:37.920,m,that's you,0,,,,,,2,that,you,,,,,
100062,00:01:40.62,m,that's [name],0,,,,,,1,that,,,,,,
103190,00:01:43.190,m,want me to draw a picture of xxx?,1,picture,,,,,1,me,,,,,,
105944,00:01:45.944,m,okay,0,,,,,,0,,,,,,,
106318,00:01:46.318,m,now we're going to draw xxx,0,,,,,,1,we,,,,,,
160990,00:02:40.990,m,who's that?,0,,,,,,1,that,,,,,,
187136,00:03:07.136,m,you wanna sing a song?,1,song,,,,,1,you,,,,,,
196486,00:03:16.486,m,what do you wanna hear?,0,,,,,,1,you,,,,,,
197336,00:03:17.336,m,you wanna hear Puff the Magic Dragon?,1,puffthemagicdragonsong,,,,,1,you,,,,,,
199308,00:03:19.308,m,no?,0,,,,,,0,,,,,,,
204170,00:03:24.170,m,this?,0,,,,,,1,this,,,,,,
204986,00:03:24.986,m,you wanna press it?,0,,,,,,2,you,it,,,,,
210324,00:03:30.324,m,echo,1,echo,,,,,0,,,,,,,
212772,00:03:32.772,m,play Here Comes the Sun,1,herecomesthesunsong,,,,,0,,,,,,,
221408,00:03:41.408,m,yes?,0,,,,,,0,,,,,,,
227936,00:03:47.936,m,that?,0,,,,,,1,that,,,,,,
229024,00:03:49.24,m,what's that?,0,,,,,,1,that,,,,,,
230826,00:03:50.826,m,that's a tablet honey,2,tablet,honey,,,,1,that,,,,,,
233784,00:03:53.784,m,that's a tablet,1,tablet,,,,,1,that,,,,,,
238884,00:03:58.884,m,oh,0,,,,,,0,,,,,,,
239258,00:03:59.258,m,that's echo,1,echo,,,,,1,that,,,,,,
240312,00:04:00.312,m,you wanna talk to that echo?,1,echo,,,,,2,you,that,,,,,
242250,00:04:02.250,m,okay,0,,,,,,0,,,,,,,
242658,00:04:02.658,m,what do you wanna ask?,0,,,,,,1,you,,,,,,
252620,00:04:12.620,m,you know,0,,,,,,1,you,,,,,,
252926,00:04:12.926,m,we don't have to listen to echo,1,echo,,,,,1,we,,,,,,
254320,00:04:14.320,m,we can sing,0,,,,,,1,we,,,,,,
255306,00:04:15.306,m,you wanna sing,0,,,,,,1,you,,,,,,
256020,00:04:16.20,m,you wanna sing @a@b@c's?,1,abcsong,,,,,1,you,,,,,,
260372,00:04:20.372,m,song?,1,song,,,,,0,,,,,,,
265574,00:04:25.574,m,echo,1,echo,,,,,0,,,,,,,
266118,00:04:26.118,m,play Puff the Magic Dragon,1,puffthemagicdragonsong,,,,,0,,,,,,,
269042,00:04:29.42,m,no?,0,,,,,,0,,,,,,,
274720,00:04:34.720,m,song?,1,song,,,,,0,,,,,,,
275944,00:04:35.944,m,which song?,1,song,,,,,0,,,,,,,
278426,00:04:38.426,m,uh,0,,,,,,0,,,,,,,
290802,00:04:50.802,m,you don't wanna hear Hey Jude or,1,heyjudesong,,,,,1,you,,,,,,
292638,00:04:52.638,m,Puff the Magic Dragon?,1,puffthemagicdragonsong,,,,,0,,,,,,,
294984,00:04:54.984,m,playlist? [laughing],1,playlist,,,,,0,,,,,,,
298928,00:04:58.928,m,okay,0,,,,,,0,,,,,,,
302736,00:05:02.736,m,echo,1,echo,,,,,0,,,,,,,
303416,00:05:03.416,m,play Here Comes the Sun,1,herecomesthesunsong,,,,,0,,,,,,,
344488,00:05:44.488,m,I know you're very curious,0,,,,,,2,i,you,,,,,
348870,00:05:48.870,m,about our guest,1,guest,,,,,1,our,,,,,,
350982,00:05:50.982,m,I know,0,,,,,,1,i,,,,,,
378654,00:06:18.654,m,are those your feet?,1,feet,,,,,2,those,your,,,,,
382190,00:06:22.190,m,are those your little feet?,1,feet,,,,,2,those,your,,,,,
436492,00:07:16.492,m,are you okay?,0,,,,,,1,you,,,,,,
438940,00:07:18.940,m,are you tired?,0,,,,,,1,you,,,,,,
440198,00:07:20.198,m,are you getting shy?,0,,,,,,1,you,,,,,,
454308,00:07:34.308,m,okay,0,,,,,,0,,,,,,,
455226,00:07:35.226,m,come here you,0,,,,,,1,you,,,,,,
456348,00:07:36.348,m,come here,0,,,,,,0,,,,,,,
458388,00:07:38.388,m,are you okay?,0,,,,,,1,you,,,,,,
460972,00:07:40.972,m,you kind of freaked out?,0,,,,,,1,you,,,,,,
462366,00:07:42.366,m,it's okay,0,,,,,,0,,,,,,,
464304,00:07:44.304,m,it's okay,0,,,,,,0,,,,,,,
