transcribe.onset,transcribe.offset,transcribe.source,transcribe.content,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
4510,00:00:04.510,m,so you are gonna to wipe?,0,,,,,,1,you,,,,,,
6526,00:00:06.526,m,okay,0,,,,,,0,,,,,,,
7343,00:00:07.343,m,do I put you down?,0,,,,,,2,i,you,,,,,
9300,00:00:09.300,m,okay,0,,,,,,0,,,,,,,
17449,00:00:17.449,m,oh,0,,,,,,0,,,,,,,
20847,00:00:20.847,m,that's a video camera,1,camera,,,,,1,that,,,,,,
23233,00:00:23.233,m,here,0,,,,,,0,,,,,,,
26362,00:00:26.362,m,it's like a pressure,1,pressure,,,,,1,it,,,,,,
30813,00:00:30.813,m,do you want the wipe?,1,wipe,,,,,1,you,,,,,,
33483,00:00:33.483,m,are you sure?,0,,,,,,1,you,,,,,,
37418,00:00:37.418,m,is that enough?,0,,,,,,1,that,,,,,,
39277,00:00:39.277,m,should we get dressed?,0,,,,,,1,we,,,,,,
41853,00:00:41.853,m,you want to get dressed?,0,,,,,,1,you,,,,,,
43670,00:00:43.670,m,okay,0,,,,,,0,,,,,,,
45852,00:00:45.852,m,not xxx?,0,,,,,,0,,,,,,,
46968,00:00:46.968,m,no?,0,,,,,,0,,,,,,,
47435,00:00:47.435,m,lets get you dressed,0,,,,,,1,you,,,,,,
50996,00:00:50.996,m,lets see,0,,,,,,0,,,,,,,
55692,00:00:55.692,m,do you want to wear a dress like mama?,2,dress,mama,,,,1,you,,,,,,
58181,00:00:58.181,m,do you wanna wear?,0,,,,,,1,you,,,,,,
62611,00:01:02.611,m,I think you will be more comfortable with the dress,1,dress,,,,,2,i,you,,,,,
63842,00:01:03.842,m,wow,0,,,,,,0,,,,,,,
66118,00:01:06.118,m,do you wanna wear this?,0,,,,,,2,you,this,,,,,
66839,00:01:06.839,m,this xxx funny outfit?,1,outfit,,,,,1,this,,,,,,
69682,00:01:09.682,m,not that?,0,,,,,,1,that,,,,,,
71916,00:01:11.916,m,what about?,0,,,,,,0,,,,,,,
75827,00:01:15.827,m,hmm,0,,,,,,0,,,,,,,
78509,00:01:18.509,m,do you want to wear a Christmas sweater?,1,sweater,,,,,1,you,,,,,,
81011,00:01:21.11,m,no with Rudolf?,1,rudolf,,,,,0,,,,,,,
83894,00:01:23.894,m,okay,0,,,,,,0,,,,,,,
86301,00:01:26.301,m,not the Christmas sweater?,1,sweater,,,,,0,,,,,,,
89015,00:01:29.15,m,okay,0,,,,,,0,,,,,,,
89666,00:01:29.666,m,do you wanna wear,0,,,,,,1,you,,,,,,
91681,00:01:31.681,m,this dress like this?,1,dress,,,,,2,this,this,,,,,
93196,00:01:33.196,m,no,0,,,,,,0,,,,,,,
96050,00:01:36.50,m,okay,0,,,,,,0,,,,,,,
97437,00:01:37.437,m,hold on,0,,,,,,0,,,,,,,
98894,00:01:38.894,m,lets look in the drawer,1,drawer,,,,,0,,,,,,,
102021,00:01:42.21,m,how about,0,,,,,,0,,,,,,,
102797,00:01:42.797,m,I know,0,,,,,,1,i,,,,,,
105303,00:01:45.303,m,this shirt with the star,2,shirt,star,,,,1,this,,,,,,
