Order,ID,Speech,Feature,referent,Adjectives(NLTK predictions_seperated by blank line),Adjectives(Spacy predictions)
1,7,CHI:        a cracker.,L,cracker,cracker,cracker
1,7,"CHI:        a cracker that's that's blue and a I mean a, orange and white.",L+P,cracker,blue,blue
1,7,CHI:        it's a colors.,P,cracker,white,orange
1,7,CHI:        it can eat.,F,cracker,orange,white
1,7,CHI:        it eats.,NA,cracker,white,orange
1,7,CHI:          this is orange and white.,P,cracker,thirteen,white
2,8,CHI:        a cracker.,L,cracker,light,light
2,8,CHI:        it's a saltine cracker.,T+L,cracker,light,crunchy
2,8,CHI:        and it has holes in it.,P,cracker,crunchy,little
2,8,CHI:        it has one two three four five six seven eight nine ten eleven twelve thirteen fourteen.,P,cracker,little,sugary
2,8,CHI:        fourteen.,P,cracker,sugary,square
2,8,CHI:        and it's light very very light gold.,P,cracker,shaped,crunchy
22,5,CHI:        nothing.,NA,cracker,square,little
22,5,CHI:        well crackers are crunchy and they're squares.,P+L,cracker,crunchy,crunchy
22,5,CHI:        and they got little holes.,P,cracker,little,big
22,5,CHI:        and people love them the most.,I,cracker,crunchy,ice cream
22,5,CHI:        and crackers are sugary.,P+L,cracker,Little,black
23,6,CHI: a cracker.,L,cracker,big,little
23,6,CHI: crackers what you eat.,F+L,cracker,ice cream,orange
23,6,CHI: and and my brother Firstname he likes crackers.,I+L,cracker,black,orange
23,6,CHI: and and and everytime when we say crackers he says cracker cracker.,I+L,cracker,little,pink
23,6,CHI: and this one has holes.,P,cracker,orange,pink
23,6,CHI: and it's a shaped square.,P,cracker,dark,dark
23,6,CHI:   this is food.,T,cracker,good,good
23,6,CHI: you eat it and it's and it's square and it has holes in it.,F+P,cracker,next,sweet
23,6,CHI: it's called a cracker and you're allowed to eat it.,F+L,cracker,ice,healthy
12,45,CHI:        a cracker.,L,cracker,sweet,sweet
12,45,CHI:        it has holes in it.,P,cracker,healthy,cold
12,45,CHI:        you eat it.,F,cracker,ice,favorite
13,58,CHI:        a cracker.,L,cracker,sweet,blue
13,58,CHI:        they're crunchy.,P,cracker,cold,other
13,58,CHI:        they have holes in them.,P,cracker,ice,cold
13,58,CHI:        so the you eat them.,F,cracker,ice,much
13,58,CHI:        you can eat them because they have holes in them that you can eat.,F+P,cracker,blue,becausesome
13,58,CHI:        and they have crumbs or .,P,cracker,ice,yucky
29,48,CHI:        a cracker.,L,cracker,other,whole
29,48,CHI:        you can eat it.,F,cracker,cold,yummy
29,48,CHI:        it has little holes in it ,P,cracker,ice,whole
19,20,CHI:        but I can help you out on this one.,NA,cracker,ice,flat
19,20,CHI:        a cracker.,L,cracker,much,pumpkin
19,20,CHI:        it's a soup cracker.,T,cracker,yucky,orange
19,20,CHI:        and you could eat it and it's very crunchy.,F+P,cracker,whole,becausea
19,20,CHI:        what's his name?,NA,cracker,yummy,orange
19,20,CHI:        laughs I thought you call him Little Piggy.,NA,cracker,whole,blue
19,20,CHI:        yes.,NA,cracker,much,pumpkin
19,20,CHI:        you could chew on it.,F,cracker,pumpkin,orange
19,20,CHI:        and you could make a big mess.,F,cracker,orange,sweet
19,20,CHI:        and that's all I know.,I,cracker,becausea,pumpkin
,,,,,top,pumpkin
1,7,CHI:        a ice cream.,L,ice cream,sugary,orange
1,7,"CHI:        and a black little bit orange there, and pink.",P,ice cream,sweet,big
1,7,"CHI:        it's a have a thing on this, there.",P,ice cream,pumpkin,scary
1,7,"CHI:        this is, a  this is orange and pink.",P,ice cream,orange,orange
2,8,CHI:        an ice cream cone.,L,ice cream,top,mean
2,8,"CHI:        it has pink for the ice cream and dark gold for,for the the I mean the cone.",P+L,ice cream,big,nice
2,8,CHI:        you can have ice cream when you're outside like I do .,F+L+I,ice cream,scary,plain
2,8,CHI:         this one's gonna be a good one next.,NA,ice cream,mean,big
2,8,CHI:        and it has squares on it.,P,ice cream,nice,silly
22,5,CHI:        ice cream.,L,ice cream,big,muffin
22,5,CHI:        I love ice cream!,I+L,ice cream,open,bottom
22,5,CHI:        well ice cream is sweet and it has sugar.,P+L,ice cream,silly,orange
22,5,CHI:        so that's why I like ice cream.,I+L,ice cream,somethin,orange
22,5,CHI:        and ice cream isn't healthy.,P+L,ice cream,muffin,smallest
23,6,CHI:  might like this treat.,I+T,ice cream,bottom,big
23,6,CHI: that's a cone ,P,ice cream,big,biggest
23,6,CHI: becauseof that part.,P,ice cream,little,little
23,6,CHI:   this is ice cream.,L,ice cream,chocolatechip,allergic
23,6,CHI: it's sweet and it's cold.,P,ice cream,allergic,allergic
23,6,CHI: you get them from ice cream stores.,F+L,ice cream,allergic,pet
23,6,CHI: or you could get them from stores.,F,ice cream,pet,plain
23,6,CHI: and their they have cones but sometimes you can get them out of bowls.,P+T,ice cream,plain,areplain
23,6,CHI:   this is a treat.,T,ice cream,areplain,nuts
23,6,CHI: and and you could you could go to ice cream stores and you could buy them.,F+L,ice cream,pineapple,nuts
23,6,CHI: or you could go ice cream stores you could get them out of cups or you could or you could get cones.,P+F+T+L,ice cream,black,pineapple
12,45,CHI:        that's ice cream.,L,ice cream,green,orange
12,45,CHI:        and you eat it.,F,ice cream,green,black
12,45,"CHI:        I don't, I don't like the, the cone.",I,ice cream,orange,green
12,45,CHI:        I like the ice cream.,I+L,ice cream,green,orange
12,45,CHI:        my favorite is blue.,I,ice cream,green,orange
13,58,CHI:        ice cream.,L,ice cream,pineapple,green
13,58,CHI:        you eat ice cream.,F+L,ice cream,little,green
13,58,"CHI:        and other people have ice cream from stores, too.",F+L,ice cream,pokey,little
13,58,CHI:        ice cream is for licking or for eating with a spoon.,L+F,ice cream,ta,pokey
13,58,CHI:        you can eat it off a cone with a spoon or you can eat it from a bowl with a spoon.,F+P,ice cream,big,pokey
13,58,"CHI:        and I can lick it from a cone, or from in a bowl.",F+P,ice cream,little,brown
13,58,CHI:        I can do that.,F,ice cream,good,big
13,58,CHI:        unless it's cold I canput my tongue in.,F,ice cream,healthy,little
29,48,CHI:        ice cream cone.,L+P,ice cream,carrot,good
29,48,CHI:        this is a cone.,P,ice cream,favorite,healthy
29,48,CHI:        and this is ice cream.,L,ice cream,vegetable,carrot
29,48,CHI:        this is ice cream.,L,ice cream,good,favorite
